sku,url_key,errors
JS00T50F-9ZE,digibreak-grey-rabbit,
JS00T50F-04G,digibreak-malt-tan-boho-stripe,
T50F-0AP,digibreak-mammont-blue-wild-at-heart,
JS00T50F-0KH,digibreak-midnight-sky-floral-stripe,
JS00T50F-0KW,digibreak-multi-3d-wave,
JS00T50F-0WH,digibreak-multi-grey-floral-haze,
JS00T50F-0DQ,digibreak-multi-hot-tropic,
T50F-04J,digibreak-multi-photo-floral,
JS00T50F-0WV,digibreak-navy-color-geo,
JS00T50F-0J8,digibreak-navy-watercolor-chevron,
T50F-06F,digibreak-red-tape-grunge-stripe,
JS00T50F-0NK,digibreak-seafoam-green-white-dots,
JS00T50F-01H,digibreak-spanish-teal,
T50F-2C8,digibreak-vivid-purple,
JS00T50F-0GT,digibreak-white-jazzy-geo,
T19W-9ZI,digital-student-berrylycious-purple,
JS00T69D-8WV,digital-student-black-forge-grey,
T69D-0A8,digital-student-black-kiss-me-quick,
JS00T69D-0V8,digital-student-black-texture-tooth,
T69D-5CS,digital-student-blue-streak,
JS00T69D-0JB,digital-student-coral-sparkle-pretty-posey,
JS00T69D-0NR,digital-student-coral-sparkle-white-dots,
T19W-9RX,digital-student-flourescent-pink,
JS00T69D-6XD,digital-student-forge-grey,
JS00T69D-0J9,digital-student-high-rish-red-checkers,
JS00T69D-0J8,digital-student-jansport-navy-watercolor-chevron,
JS00T69D-04G,digital-student-malt-tan-boho-stripe,
T69D-0AP,digital-student-mammonth-blu-wild-at-heart,
T19W-ZE3,digital-student-mammoth-blue-super-splash,
JS00T69D-0KH,digital-student-midnight-sky-floral-stripe,
T69D-09V,digital-student-multi-astro-kitty,
T69D-0A1,digital-student-multi-grey-floral-flourish,
JS00T69D-0WH,digital-student-multi-grey-floral-haze,
JS00T69D-0V6,digital-student-multi-ice-baby,
T69D-0B5,digital-student-multi-junk-food,
JS00T69D-0FZ,digital-student-multi-marble-prism,
JS00T69D-0E2,digital-student-multi-navy-mountain-meadow,
JS00T69D-0MV,digital-student-multi-red-galaxy,
JS00T69D-0WV,digital-student-navy-color-geo,
JS00T69D-0N0,digital-student-red-tape-land-ahoy,
T69D-ZK1,digital-student-shady-grey-sprinkled-floral,
JS00T69D-0P5,digital-student-spanish-teal-multi-stickers,
JS00T69D-05B,digital-student-violet-purple,
T69F-ZS3,digital-wrap-black-beige-plush-cheetah,
T69F-0AR,digital-wrap-black-plush-lips,
T69F-0CZ,digital-wrap-multi-burrito,
JS00TN89-008,driver-8-black,
JS00TN89-0JB,driver-8-coral-sparkle-pretty-posey,
JS00TN89-0JE,driver-8-multi-diamond-arrows,
JS00TN89-0WH,driver-8-multi-grey-floral-haze,
JS00TN89-0E2,driver-8-multi-navy-mountain-meadow,
JS00TN89-0MV,driver-8-multi-red-galaxy,
JS00TN89-003,driver-8-navy,
JS00TN89-0VQ,driver-8-navy-sweet-blossom,
JS00TN89-0N0,driver-8-red-tape-land-ahoy,
JS00TN89-0NK,driver-8-seafoam-green-white-dots,
JS00TN89-9FL,driver-8-viking-red,
TN89-01W,driver-8-wheeled-black-floral-geo,
TN89-0A8,driver-8-wheeled-black-kiss-me-quick,
TN89-0AP,driver-8-wheeled-mammoth-blue-wild-at-heart,
TZU9-008,emma-tote-black,
TZU9-9FA,emma-tote-pink-tulip,
TZU9-9HY,emma-tote-purple-sky-multi-watercolor,
TZU9-9MM,emma-tote-purple-sky/vanilla-ice-white-reno-plaid,
TZV8-9MK,emma-tote-se-black-multi-metallic-reptile,
JS00T45G-008,envoy-black,
T45G-5CS,envoy-blue-streak,
JS00T45G-6XD,envoy-forge-grey,
JS00T45G-0KJ,envoy-grey-multi-variegated-stripe,
JS00T45G-0BE,envoy-grey-rabbit-sylvia-dot,
T45G-0A1,envoy-multi-grey-floral-flourish,
JS00T45G-0E2,envoy-multi-navy-mountain-meadow,
JS00T45G-9FL,envoy-viking-red,
JS00TAN1-0X1,fifht-avenue-multi-navy-connect-four,
TAN1-9ZG,fifth-avenue-aqua-dash,
JS00TAN1-008,fifth-avenue-black,
JS00TAN1-06Q,fifth-avenue-black-ziggy,
JS00TAN1-01F,fifth-avenue-blue-crest,
JS00TAN1-01B,fifth-avenue-cyber-pink,
JS00TAN1-0EG,fifth-avenue-cyber-pink-block-floral,
TAN1-9RX,fifth-avenue-fluorescent-pink,
TAN1-ZE6,fifth-avenue-grey-tar-wild-at-heart,
TAN1-2D5,fifth-avenue-lorac-yellow,
TAN1-09V,fifth-avenue-multi-astro-kitty,
JS00TAN1-0KL,fifth-avenue-multi-concrete-floral,
TAN1-09Y,fifth-avenue-multi-donuts,
JS00TAN1-0A1,fifth-avenue-multi-grey-floral-flourish,
JS00TAN1-0WH,fifth-avenue-multi-grey-floral-haze,
